lambda_vac_A,A_ul,upper_id,lower_id,g_upper,g_lower,E_cm1,E_lower_cm1
3453.26345,749000.0,y3Fo_J4,a5F_J3,9.0,7.0,28958.114968031183,7728.06
3466.85317,11900000.0,z5Po_J1,a5D_J1,3.0,3.0,28844.602034299594,888.13
3467.49126,124000.0,z3Go_J4,a5F_J5,9.0,11.0,28839.29403184711,6928.27
3474.49271,18000.0,y5Po_J3,a5F_J2,7.0,5.0,28781.179972600952,7985.78
3476.44526,9750000.0,z5Po_J2,a5D_J2,5.0,5.0,28765.014985450973,704.01
3477.69718,5720000.0,z5Po_J1,a5D_J0,3.0,1.0,28754.66000176588,978.07
3484.00421,145000.0,z3Go_J3,a5F_J4,7.0,9.0,28702.60595925055,7376.76
3491.57269,6140000.0,z5Po_J3,a5D_J3,7.0,7.0,28640.38898184875,415.93
3498.84136,3080000.0,z5Po_J2,a5D_J1,5.0,3.0,28580.889989250616,888.13
3514.8226,3400000.0,z3Go_J5,a5F_J5,11.0,11.0,28450.938035962325,6928.27
3522.26803,6140000.0,z3Go_J4,a5F_J4,9.0,9.0,28390.79795980205,7376.76
3527.04885,1140000.0,z5Po_J3,a5D_J2,7.0,5.0,28352.314995580513,704.01
3527.17375,4140000.0,z3Go_J3,a5F_J3,7.0,7.0,28351.31101778017,7728.06
3529.94491,9279.0,z5Go_J4,a5F_J5,9.0,11.0,28329.054007814528,6928.27
3541.72125,245000.0,z5Go_J3,a5F_J4,7.0,9.0,28234.85896864413,7376.76
3555.13324,657000.0,z5Go_J2,a5F_J3,5.0,7.0,28128.34097886019,7728.06
3559.53135,17700000.0,z3Go_J3,a5F_J2,7.0,5.0,28093.585971647644,7985.78
3566.39702,42900000.0,z3Go_J4,a5F_J3,9.0,7.0,28039.503016408424,7728.06
3571.11712,67600000.0,z3Go_J5,a5F_J4,11.0,9.0,28002.441992157343,7376.76
3572.24355,230000.0,x5Do_J3,a3F_J4,7.0,9.0,27993.612025697406,11976.24
3582.21526,102000000.0,z5Go_J6,a5F_J5,13.0,11.0,27915.687009830894,6928.27
3586.34212,11700000.0,z5Go_J3,a5F_J3,7.0,7.0,27883.563991937277,7728.06
3586.72879,3750000.0,z5Go_J4,a5F_J4,9.0,9.0,27880.55798330935,7376.76
3588.00824,16600000.0,z5Go_J2,a5F_J2,5.0,5.0,27870.616038496053,7985.78
3590.12917,361000.0,z5Go_J5,a5F_J5,11.0,11.0,27854.150997023873,6928.27
3609.88845,81300000.0,z5Go_J2,a5F_J1,5.0,3.0,27701.6870147331,8154.71
3616.69369,110000.0,x5Do_J4,a3F_J4,9.0,9.0,27649.5629907768,11976.24
3619.79957,72200000.0,z5Go_J3,a5F_J2,7.0,5.0,27625.83896323298,7985.78
3632.49826,51700000.0,z5Go_J4,a5F_J3,9.0,7.0,27529.263014705477,7728.06
3648.88196,29100000.0,z5Go_J5,a5F_J4,11.0,9.0,27405.654963966,7376.76
3650.34259,45000.0,z5Fo_J3,a5D_J4,7.0,9.0,27394.68900095758,0.0
3680.96109,1380000.0,z5Fo_J4,a5D_J4,9.0,9.0,27166.818000784682,0.0
3684.10318,265000.0,z5Fo_J2,a5D_J3,5.0,7.0,27143.64802345194,415.93
3688.50624,8000000.0,y5Fo_J4,a5F_J5,9.0,11.0,27111.245987752485,6928.27
3694.82681,9501.0,x5Do_J4,a3F_J3,9.0,7.0,27064.868028279787,12560.93
3706.62013,3210000.0,z5Fo_J3,a5D_J3,7.0,7.0,26978.755980586553,415.93
3708.87704,633000.0,z5Fo_J1,a5D_J2,3.0,5.0,26962.338983338203,704.01
3710.30172,15600000.0,y5Fo_J3,a5F_J4,7.0,9.0,26951.985996438045,7376.76
3720.99281,16200000.0,z5Fo_J5,a5D_J4,11.0,9.0,26874.548032249484,0.0
3723.62177,4970000.0,z5Fo_J2,a5D_J2,5.0,5.0,26855.574002082383,704.01
3728.67895,22400000.0,y5Fo_J2,a5F_J3,5.0,7.0,26819.14998340096,7728.06
3734.379,6480000.0,z5Fo_J1,a5D_J1,3.0,3.0,26778.213994883754,888.13
3735.92579,90100000.0,y5Fo_J5,a5F_J5,11.0,11.0,26767.126977648022,6928.27
3738.19408,14100000.0,z5Fo_J4,a5D_J3,9.0,7.0,26750.885015579497,415.93
3744.42614,26000000.0,y5Fo_J1,a5F_J2,3.0,5.0,26706.36200611504,7985.78
3746.62588,11500000.0,z5Fo_J3,a5D_J2,7.0,5.0,26690.682017068648,704.01
3746.96421,7320000.0,z5Fo_J1,a5D_J0,3.0,1.0,26688.27199713231,978.07
3749.3276,9150000.0,z5Fo_J2,a5D_J1,5.0,3.0,26671.44903528835,888.13
3750.55086,76300000.0,y5Fo_J4,a5F_J4,9.0,9.0,26662.750015340414,7376.76
3759.30084,63400000.0,y5Fo_J3,a5F_J3,7.0,7.0,26600.69099444566,7728.06
3764.85825,54400000.0,y5Fo_J2,a5F_J2,5.0,5.0,26561.424988576924,7985.78
3768.26199,63900000.0,y5Fo_J1,a5F_J1,3.0,3.0,26537.432977158787,8154.71
